Discipline,Megaskill,Microskill,Levels
Artificial Intelligence & Data Science,Data Exploration and Inference,Exploratory Data Analysis (EDA),1 - 7
Artificial Intelligence & Data Science,Data Exploration and Inference,Inferential Statistics,1 - 7
Artificial Intelligence & Data Science,Data Exploration and Inference,Data Visualization for Inference,1 - 7
Artificial Intelligence & Data Science,Natural Language Processing,Text Preprocessing,1 - 7
Artificial Intelligence & Data Science,Natural Language Processing,Language Modeling,1 - 7
Artificial Intelligence & Data Science,Natural Language Processing,Sentiment Analysis,1 - 7
Artificial Intelligence & Data Science,Supervised Machine Learning,Model Development,1 - 7
Artificial Intelligence & Data Science,Supervised Machine Learning,Hyperparameter Tuning,1 - 7
Artificial Intelligence & Data Science,Supervised Machine Learning,Performance Evaluation,1 - 7
Artificial Intelligence & Data Science,Unsupervised Machine Learning,Clustering Algorithms,1 - 7
Artificial Intelligence & Data Science,Unsupervised Machine Learning,Dimensionality Reduction,1 - 7
Artificial Intelligence & Data Science,Unsupervised Machine Learning,Anomaly Detection,1 - 7
Artificial Intelligence & Data Science,Computer Vision,Image Preprocessing,1 - 7
Artificial Intelligence & Data Science,Computer Vision,Object Detection,1 - 7
Artificial Intelligence & Data Science,Computer Vision,Image Segmentation,1 - 7
Artificial Intelligence & Data Science,Data Visualization and Storytelling,Visualization Design Principles,1 - 7
Artificial Intelligence & Data Science,Data Visualization and Storytelling,Interactive Storytelling,1 - 7
Artificial Intelligence & Data Science,Data Visualization and Storytelling,Dashboard Development,1 - 7
Artificial Intelligence & Data Science,AI Strategy and Business Value Realization,AI Use Case Identification,1 - 7
Artificial Intelligence & Data Science,AI Strategy and Business Value Realization,AI ROI Quantification,1 - 7
Artificial Intelligence & Data Science,AI Strategy and Business Value Realization,AI Governance and Risk Management,1 - 7
Artificial Intelligence & Data Science,"AI Ethics, Privacy, and Governance",Ethical AI Design,1 - 7
Artificial Intelligence & Data Science,"AI Ethics, Privacy, and Governance",Privacy Preservation in AI,1 - 7
Artificial Intelligence & Data Science,"AI Ethics, Privacy, and Governance",AI Governance Frameworks,1 - 7
Artificial Intelligence & Data Science,Data Preparation and Management,Data Cleaning,1 - 7
Artificial Intelligence & Data Science,Data Preparation and Management,Data Integration,1 - 7
